Local Date and Time,Participant Public ID,Participant Private ID,randomiser-wqo5,Trial Number,Response,Onset Time,Object Name,Object Number,Spreadsheet: Trial#,Spreadsheet: Audio
17/02/2026 17:00:59,3sq66wle,15178530,Version1-raw,47,o.png,2100.000000000029,O,2,24,[MONO] ASI128_peso_alt_unanalyzable_v-less_raw.mp3
17/02/2026 17:01:00,3sq66wle,15178530,Version1-raw,48,audio started,1519.9000000000815,Audio Clip,2,43,[MONO] ASI142_luna_nonalt_analyzable_v_raw.mp3
17/02/2026 17:01:01,3sq66wle,15178530,Version1-raw,48,a.png,2579.0000000001746,A,1,43,[MONO] ASI142_luna_nonalt_analyzable_v_raw.mp3
17/02/2026 17:01:05,3sq66wle,15178530,Version1-raw,49,audio started,1505.3000000002794,Audio Clip,2,95,[MONO] HSS_sata_unanalyzable.mp3
17/02/2026 17:01:06,3sq66wle,15178530,Version1-raw,49,no-se.png,2616.600000000006,No se,3,95,[MONO] HSS_sata_unanalyzable.mp3
17/02/2026 17:01:07,3sq66wle,15178530,Version1-raw,50,audio started,1521.799999999901,Audio Clip,2,9,[MONO] HSS122_cocinera_alt_analyzable_v_raw.mp3
17/02/2026 17:01:08,3sq66wle,15178530,Version1-raw,50,o.png,2307.6000000001804,O,2,9,[MONO] HSS122_cocinera_alt_analyzable_v_raw.mp3
17/02/2026 17:01:10,3sq66wle,15178530,Version1-raw,51,audio started,1505.8999999999069,Audio Clip,2,42,[MONO] HSS113_tortuga_nonalt_analyzable_v_raw.mp3
17/02/2026 17:01:11,3sq66wle,15178530,Version1-raw,51,a.png,2845.7000000001863,A,1,42,[MONO] HSS113_tortuga_nonalt_analyzable_v_raw.mp3
17/02/2026 17:01:13,3sq66wle,15178530,Version1-raw,52,audio started,1521.3000000001048,Audio Clip,2,36,[MONO] ASI148_nudo_nonalt_analyzable_v_raw.mp3
17/02/2026 17:01:14,3sq66wle,15178530,Version1-raw,52,o.png,2550.000000000029,O,2,36,[MONO] ASI148_nudo_nonalt_analyzable_v_raw.mp3
17/02/2026 17:01:15,3sq66wle,15178530,Version1-raw,53,audio started,1502.8999999999942,Audio Clip,2,85,[MONO] ASI_gapo_unanalyzable.mp3
17/02/2026 17:01:16,3sq66wle,15178530,Version1-raw,53,o.png,2334.000000000029,O,2,85,[MONO] ASI_gapo_unanalyzable.mp3
17/02/2026 17:01:17,3sq66wle,15178530,Version1-raw,54,audio started,1521.6999999998952,Audio Clip,2,8,[MONO] ASI110_plato_alt_analyzable_v-less_raw.mp3
17/02/2026 17:01:18,3sq66wle,15178530,Version1-raw,54,o.png,2165.7999999999884,O,2,8,[MONO] ASI110_plato_alt_analyzable_v-less_raw.mp3
17/02/2026 17:01:20,3sq66wle,15178530,Version1-raw,55,audio started,1519.9000000002561,Audio Clip,2,13,[MONO] HSS138_puerta_alt_analyzable_v-less_raw.mp3
17/02/2026 17:01:21,3sq66wle,15178530,Version1-raw,55,a.png,2506.800000000163,A,1,13,[MONO] HSS138_puerta_alt_analyzable_v-less_raw.mp3
17/02/2026 17:01:22,3sq66wle,15178530,Version1-raw,56,audio started,1522.400000000198,Audio Clip,2,2,[MONO] HSS145_rayo_alt_analyzable_v_raw.mp3
17/02/2026 17:01:23,3sq66wle,15178530,Version1-raw,56,o.png,2484,O,2,2,[MONO] HSS145_rayo_alt_analyzable_v_raw.mp3
17/02/2026 17:01:25,3sq66wle,15178530,Version1-raw,57,audio started,1518.7000000000116,Audio Clip,2,27,[MONO] ASI119_pala_alt_unanalyzable_v_raw.mp3
17/02/2026 17:01:26,3sq66wle,15178530,Version1-raw,57,a.png,2533.000000000058,A,1,27,[MONO] ASI119_pala_alt_unanalyzable_v_raw.mp3
17/02/2026 17:01:27,3sq66wle,15178530,Version1-raw,58,audio started,1520.1000000002678,Audio Clip,2,25,[MONO] HSS141_maestra_alt_unanalyzable_v_raw.mp3
17/02/2026 17:01:29,3sq66wle,15178530,Version1-raw,58,a.png,3048.1000000002678,A,1,25,[MONO] HSS141_maestra_alt_unanalyzable_v_raw.mp3
17/02/2026 17:01:30,3sq66wle,15178530,Version1-raw,59,audio started,1531.8000000002794,Audio Clip,2,59,[MONO] ASI146_ballena_nonalt_unanalyzable_v_raw.mp3
17/02/2026 17:01:31,3sq66wle,15178530,Version1-raw,59,a.png,2396.8000000002794,A,1,59,[MONO] ASI146_ballena_nonalt_unanalyzable_v_raw.mp3
17/02/2026 17:01:32,3sq66wle,15178530,Version1-raw,60,audio started,1504.5000000001746,Audio Clip,2,96,[MONO] ASI_sata_unanalyzable.mp3
17/02/2026 17:01:34,3sq66wle,15178530,Version1-raw,60,no-se.png,3217.29999999993,No se,3,96,[MONO] ASI_sata_unanalyzable.mp3
17/02/2026 17:01:36,3sq66wle,15178530,Version1-raw,61,audio started,1506.1000000002095,Audio Clip,2,18,[MONO] HSS145_rayo_alt_unanalyzable_v_raw.mp3
17/02/2026 17:01:37,3sq66wle,15178530,Version1-raw,61,o.png,2493.4000000000233,O,2,18,[MONO] HSS145_rayo_alt_unanalyzable_v_raw.mp3
17/02/2026 17:01:38,3sq66wle,15178530,Version1-raw,62,audio started,1518.2999999999302,Audio Clip,2,82,[MONO] HSS_bleno_unanalyzable2.mp3
17/02/2026 17:01:39,3sq66wle,15178530,Version1-raw,62,o.png,2457.29999999993,O,2,82,[MONO] HSS_bleno_unanalyzable2.mp3
17/02/2026 17:01:41,3sq66wle,15178530,Version1-raw,63,audio started,1521.0000000001164,Audio Clip,2,79,[MONO] ASI_gapa_analyzable.mp3
